Computed,n,s,Avg. FLOPs,Cols Fetched,Avg. Linf Error,Time
Bidir,120,2,3.992181505862326,1.947488182289894,-4.042064000803214,-1.83276204768996
Power,120,3,4.307233289919011,2.0791812460476247,-5.941679769209256,-1.593173202758578
Priority,120,3,3.952895987850205,2.073209033433166,-3.980682461185786,-1.8856179742718704
Bidir,120,3,4.196456378752472,2.0730051393064617,-4.156859549685034,-1.657536762204282
Power,120,3,4.2877190170627095,2.0791812460476247,-5.680101585743692,-1.6146089799826897
Priority,120,3,3.931829229724872,2.073412831879845,-3.9222421116494295,-1.91734843544399
Bidir,120,3,4.192178576120986,2.072188604199835,-4.249525958001178,-1.654452953041971
Power,123,4,4.330268871606254,2.089905111439398,-6.330704400989855,-1.5717433593104666
Priority,123,4,3.9996946801905473,2.088529828058349,-4.010909825650824,-1.8434204622921389
Bidir,123,4,4.29514848516824,2.089905111439398,-4.40874333833758,-1.571409274859331
Power,124,2,4.2923637699266255,2.0934216851622347,-5.682053246613919,-1.6120468043173488
Priority,124,2,3.773820969451537,1.9329526676019733,-3.970374223593896,-2.013664055545085
Bidir,124,2,4.020061888322461,1.9444826721501685,-4.262093298716748,-1.782091206645561
Power,126,3,4.3183028036797495,2.100370545117563,-6.023365714994816,-1.3166421371140038
Priority,126,3,3.9660791272204143,2.095169351431755,-3.9666315187300696,-1.636996088059838
Bidir,126,3,4.28938639804822,2.093616217968132,-4.13722094221153,-1.3464764853380788
Power,127,4,4.3639956564960505,2.1038037209559564,-6.249052278451625,-1.5449464779724489
Priority,127,4,4.024134331810046,2.102567091434675,-4.0006984937766745,-1.81572020318597
Bidir,127,4,4.306477449509381,2.1038037209559564,-4.045350694326385,-1.560426707581047
Power,128,5,4.363654660299225,2.107209969647868,-6.43423215172382,-1.5364810837183918
Priority,128,5,4.0340048169197456,2.106567589948431,-4.141076099456541,-1.817397539463458
Bidir,128,5,4.330057657291842,2.107209969647868,-4.442348481530089,-1.5458249914028128
Power,128,4,4.3480800518190845,2.107209969647868,-6.159768893431036,-1.5551942503127154
Priority,128,4,4.005095835150926,2.104450198773008,-3.961117304790021,-1.83099352806144
Bidir,128,4,4.2948634575554125,2.107209969647868,-4.311455860716925,-1.5552518341161057
Power,128,5,4.371045884766604,2.107209969647868,-6.288430218294389,-1.5305215094688276
Priority,128,5,4.038801612546705,2.107209969647868,-4.11719470357758,-1.8167354839275944
Bidir,128,5,4.33872669942569,2.107209969647868,-4.3416885658906175,-1.3193715905780794
Power,129,4,4.329118504000885,2.110589710299249,-6.439312263414716,-1.306199347960706
Priority,129,4,3.996742341660732,2.109770028743745,-4.024910216723455,-1.6104326701896423
Bidir,129,4,4.26923897842022,2.110589710299249,-4.204499112157516,-1.5970567125416786
Power,130,3,4.334802481293558,2.113943352306837,-6.033819690094463,-1.5683267195079609
Priority,130,3,3.9600591849247593,2.102600560193949,-4.063807924458082,-1.8835755148317128
Bidir,130,3,4.207072224707178,2.094933590890759,-4.314171499939248,-1.6494647518160872
Power,131,3,4.350752864608047,2.1172712956557644,-5.7730993020091255,-1.5493804782941576
Priority,131,3,3.9784174277259368,2.1024151623333305,-4.031190762252425,-1.8476880704844647
Bidir,131,3,4.217091087541016,2.10757661760709,-4.227426822710779,-1.6571018953812953
Power,131,2,4.310179305041512,2.1172712956557644,-5.734780550295218,-1.592682846628084
Priority,131,2,3.773424678685808,1.951626269708724,-4.0314572514813065,-2.019936067721986
Bidir,131,2,4.052055125041452,2.014429715422642,-4.050414385146118,-1.7984842719585146
Power,132,2,4.303410319570531,2.1205739312058496,-5.308845630060317,-1.5867970075684998
Priority,132,2,3.783505705648479,1.9720025757750648,-3.980620770370084,-1.967000597735364
Bidir,132,2,4.049981349229741,2.003856265859309,-4.292241577745816,-1.7997666035377953
Power,134,5,4.408659293478211,2.127104798364808,-6.104542287807072,-1.2826510526477697
Priority,134,5,4.0670939888345945,2.126929573637032,-4.133338010258196,-1.548580658892363
Bidir,134,5,4.325516772784104,2.1239398852997886,-4.235456658298719,-1.3223083487963097
Power,134,4,4.383828946564937,2.127104798364808,-6.117992750764612,-1.5215470730316187
Priority,134,4,4.031018488761788,2.126052387958284,-4.026030533935971,-1.8183310890181823
Bidir,134,4,4.290855473325087,2.118613230440322,-4.18614731741402,-1.5788034378113491
Power,134,5,4.38485015300263,2.127104798364808,-6.388464072769465,-1.521616640489986
Priority,134,5,4.053440810261642,2.126929573637032,-4.081097150075737,-1.8035846623685183
Bidir,134,5,4.352596009523759,2.127104798364808,-4.440777377446474,-1.5183680962379305
Power,134,2,4.307386742232272,2.127104798364808,-6.242530713922341,-1.5960474758718322
Priority,134,2,3.811455438879864,1.999882607248399,-4.013557595703543,-2.0183996909368487
Bidir,134,2,4.110617006391895,2.055770787950001,-4.264799358095269,-1.7271768823220417
Power,135,5,4.391635463421177,2.1303337684950057,-6.354398507969308,-1.512442502271789
Priority,135,5,4.057592094663118,2.1303337684950057,-4.077718898113805,-1.779469397718263
Bidir,135,5,4.324787271805025,2.127192384224115,-4.435292279363027,-1.3774361733970475
Power,135,4,4.373901118891243,2.1303337684950057,-6.195999792519706,-1.2637951727407477
Priority,135,4,4.024829452529728,2.1290276186927226,-4.146873662546481,-1.5746571739071644
Bidir,135,4,4.30103821196835,2.1303337684950057,-4.517580836919963,-1.5581506166159091
Power,136,2,4.326668485919283,2.133538908370217,-5.215679074503285,-1.5649990426043805
Priority,136,2,3.764487140463317,1.9585251432476407,-3.960675401287761,-2.035239597703369
Bidir,136,2,4.0083964405618175,1.974996861570652,-4.112866563027075,-1.8323600924902592
Power,136,4,4.377401756992553,2.133538908370217,-6.266127702193818,-1.521816290281869
Priority,136,4,4.026217347299061,2.1327614540925546,-4.114917414234845,-1.810412133230921
Bidir,136,4,4.297744545183751,2.133538908370217,-4.414123922984216,-1.5708973466592888
Power,138,4,4.367631392256948,2.1398790864012365,-6.395599696875628,-1.533950054423381
Priority,138,4,4.018042284810754,2.13826001356436,-4.05285241668844,-1.839107053145508
Bidir,138,4,4.297217340424893,2.1398790864012365,-4.378756977461,-1.5669456911472046
Power,138,4,4.377861270127141,2.1398790864012365,-6.381617529322165,-1.5230422485095594
Priority,138,4,4.0340471442828205,2.1383453785733626,-3.96347554621518,-1.8087008061696168
Bidir,138,4,4.3222919505384905,2.1398790864012365,-4.512417209943398,-1.295877134203453
Power,140,4,4.38153021583627,2.146128035678238,-6.302076581722122,-1.252498437826867
Priority,140,4,4.032045653349581,2.1450367374786667,-4.075574148032833,-1.7271456768865188
Bidir,140,4,4.331044627075191,2.1430992358491707,-4.543014824147575,-1.539085818592914
Power,140,4,4.387240193138496,2.146128035678238,-6.202204297971982,-1.5144289483991586
Priority,140,4,4.041535648014709,2.1449526777703034,-3.987528722127704,-1.8081644839335604
Bidir,140,4,4.304888006608782,2.143014800254095,-4.18659259545751,-1.5654896978500514
Power,140,4,4.37183487933853,2.146128035678238,-6.403731477078553,-1.5318316467231852
Priority,140,4,4.029867276737395,2.1449526777703034,-4.026372396470739,-1.8062510836628145
Bidir,140,4,4.3208505377292274,2.146128035678238,-4.185920170577633,-1.5486151017999803
Power,141,5,4.39294256739893,2.14921911265538,-6.2649424899159305,-1.5110071882115748
Priority,141,5,4.056804966534806,2.148802682973552,-4.116799992205042,-1.7976982791566514
Bidir,141,5,4.322392530820897,2.14921911265538,-4.5201829201413695,-1.5461638201267245
Power,141,2,4.343879974728037,2.14921911265538,-5.543457749621164,-1.32626974788102
Priority,141,2,3.7725139877665743,1.94368163691188,-3.8946684002959056,-1.7837458361650218
Bidir,141,2,4.11391716744268,2.0600850070225194,-4.257380439874875,-1.4922006044604517
Power,142,3,4.391750730385322,2.1522883443830563,-5.875328445923071,-1.374164923006583
Priority,142,3,3.986518755760984,2.12885316820558,-3.999925221059344,-1.8508123261252107
Bidir,142,3,4.2563653423926215,2.131722678675481,-4.129588808083108,-1.6066755326730175
Power,143,3,4.358046546601788,2.155336037465062,-6.357169385408394,-1.542229219948487
Priority,143,3,3.973915063284739,2.1319826055552027,-4.003562274236812,-1.868989080685476
Bidir,143,3,4.30468262007043,2.14352116776024,-4.411948155790322,-1.5570305371472104
Power,144,2,4.341444149910957,2.1583624920952498,-6.236436033801366,-1.5547819402605696
Priority,144,2,3.819131141883181,1.9987069311598085,-4.00240661052741,-1.9748737047859253
Bidir,144,2,4.052749040068436,1.96506179271172,-4.111026417159229,-1.7875588450619269
Power,145,4,4.408506274158104,2.161368002234975,-6.426651752906117,-1.491657689488104
Priority,145,4,4.046450868910946,2.158606958457969,-3.958713949520198,-1.7908883300466614
Bidir,145,4,4.3135360457267415,2.158769859615881,-4.364944020951432,-1.5588722902599566
Power,145,5,4.434841115822984,2.161368002234975,-6.154219584596394,-1.2567966782080426
Priority,145,5,4.0817024077301545,2.161206072896073,-4.0954509860935095,-1.5249248120687302
Bidir,145,5,4.377030445989905,2.161368002234975,-4.221599995223991,-1.2946640671608267
Power,147,4,4.437245634471495,2.167317334748176,-6.196206498173887,-1.4679238063559563
Priority,147,4,4.07300359595888,2.1642724532141986,-3.95676804963837,-1.778033976196979
Bidir,147,4,4.298042478865262,2.1649152573750694,-4.1069276292986,-1.5697689930063812
Power,147,3,4.398440215546225,2.167317334748176,-6.019021369578227,-1.4964878519038407
Priority,147,3,4.006500733539592,2.148302439706222,-4.011907599032143,-1.841917090776878
Bidir,147,3,4.224185062078783,2.1383453785733626,-4.151339606888688,-1.625958009971065
Power,148,5,4.433910749790733,2.170261715394957,-6.139769180334877,-1.4705044148089454
Priority,148,5,4.089337896713635,2.169706199307644,-4.12906263309502,-1.7673067781104308
Bidir,148,5,4.386426653440276,2.170261715394957,-4.431880222691347,-1.4838584491041935
Power,150,5,4.42796657964769,2.1760912590556813,-6.4498445149222094,-1.395210492708938
Priority,150,5,4.085865989816523,2.175778141174848,-4.042903867668963,-1.515672824829942
Bidir,150,5,4.391396258319427,2.1760912590556813,-4.405032978895532,-1.2111296963680036
Power,150,5,4.426874669895867,2.1760912590556813,-6.467086846590921,-1.4067094726773417
Priority,150,5,4.08441781438226,2.1758564418118405,-4.019160969941441,-1.76182466668796
Bidir,150,5,4.383538326386529,2.1760912590556813,-4.388674580265817,-1.4878856370398907
Power,151,5,4.46244211317788,2.1789769472931697,-6.371731014789269,-1.4254743017215443
Priority,151,5,4.114492870075248,2.178432474870584,-4.088738031208289,-1.735398225430147
Bidir,151,5,4.437028137278598,2.1789769472931697,-4.495213865485943,-1.436303765843656
Power,151,2,4.3605744813966325,2.1789769472931697,-5.687739078147111,-1.5369636638492032
Priority,151,2,3.826806477635529,2.0206300015272123,-3.953122103264453,-1.98769678625501
Bidir,151,2,4.031206419827462,1.9565837252542275,-4.301484154357616,-1.8033972311204032
Power,154,4,4.437020413482203,2.187520720836463,-6.142972882373181,-1.4663920905349206
Priority,154,4,4.074670188924007,2.186070144616464,-4.071038170100735,-1.615593054058437
Bidir,154,4,4.334919205304475,2.181920802716405,-4.169454412949017,-1.2857046579034646
Power,158,2,4.3871020614391005,2.198657086954422,-5.875206443613336,-1.2832368280701263
Priority,158,2,3.7897007401200833,1.9759903866980373,-3.9521263505052895,-1.998583615587324
Bidir,158,2,4.073609379228159,2.006176840346088,-4.07952391498631,-1.7823647252655963
Power,160,5,4.468508992970103,2.204119982655925,-6.440718581296617,-1.4290598892060893
Priority,160,5,4.114927299789334,2.2035327013197743,-4.0721100436415725,-1.7410223673424865
Bidir,160,5,4.380509472211684,2.204119982655925,-4.322625990799931,-1.4845723795587322
Power,161,4,4.429550205121383,2.20682587603185,-6.057332259444995,-1.4649842841394811
Priority,161,4,4.072068974298708,2.2044866306151465,-4.141048203864391,-1.7794656925075714
Bidir,161,4,4.354762867308549,2.20682587603185,-4.325164003012708,-1.5145788272883585
Power,161,2,4.38977936458272,2.20682587603185,-5.55713078787563,-1.5067581620683776
Priority,161,2,3.8250768293552895,2.01838558060476,-3.9671142801194215,-1.991958877501634
Bidir,161,2,4.043524769462761,1.9928996595820607,-4.362981760950422,-1.791468299306186
Power,161,2,4.397687809905871,2.20682587603185,-5.492075649439843,-1.2843536578677188
Priority,161,2,3.802973312553772,1.997528063764132,-3.983592823691666,-1.7915238799796005
Bidir,161,2,4.110136344366405,2.049218022670181,-4.253098753167457,-1.4998915106586828
Power,164,4,4.453114949370308,2.214843848047698,-6.468358752849726,-1.3256065955968217
Priority,164,4,4.093350685274024,2.212115588073156,-3.961083195210151,-1.7587422065092508
Bidir,164,4,4.389662616052465,2.212187604403958,-4.246416871413743,-1.477396287152175
Power,165,2,4.389441952185884,2.217483944213906,-5.961673570808573,-1.5115608590310472
Priority,165,2,3.822901066009361,2.029603118337298,-3.986101862008067,-1.995462948545171
Bidir,165,2,4.103154428159926,2.0815224618625274,-4.235163939689604,-1.7433313493926343
Power,167,4,4.466765454391969,2.222716471147584,-6.174532762539804,-1.4331912155013935
Priority,167,4,4.095855158041807,2.218123710323075,-4.04049042599874,-1.7459946391032997
Bidir,167,4,4.391928334034063,2.2182657526732874,-4.430741260387035,-1.4734282219852255
Power,170,5,4.496364076613872,2.2304489213782737,-5.911595492317689,-1.408046935272652
Priority,170,5,4.133354173101532,2.229757919670201,-4.122672553967654,-1.5250056090543502
Bidir,170,5,4.40934035391133,2.22823383474318,-4.452315199394392,-1.200354151162191
Power,175,3,4.465230878069296,2.2430380486862944,-5.832893950437091,-1.29183128697561
Priority,175,3,4.037183061134675,2.212187604403958,-3.8866324929053326,-1.8072582573123872
Bidir,175,3,4.282342816722616,2.208499459921416,-4.192652813313606,-1.5831583243394325
Power,175,5,4.525750946626363,2.2430380486862944,-6.414611097819395,-1.3796062283083688
Priority,175,5,4.152578383338095,2.242232431855678,-4.101984009598659,-1.7039567315465929
Bidir,175,5,4.413928792861731,2.241088577109321,-4.374661437075936,-1.4583941254757748
Power,177,3,4.465016094847118,2.2479732663618064,-6.179646696794452,-1.4358797465200732
Priority,177,3,4.053457415818991,2.2231379798981443,-3.993258707736121,-1.785830643544091
Bidir,177,3,4.342446689067298,2.2383174100137104,-4.164864243193032,-1.5263659466328685
Power,177,4,4.491118163185376,2.2479732663618064,-6.294358075652413,-1.2842735735894029
Priority,177,4,4.110013362380733,2.2441767870872,-4.088959657032947,-1.4974476779509938
Bidir,177,4,4.374101548839624,2.2405492482826,-4.222642008003945,-1.252545639393558
Power,177,3,4.472013613063593,2.2479732663618064,-6.30603439904265,-1.419707482637064
Priority,177,3,4.0508999582964025,2.219683626873929,-3.927262506430453,-1.8012896244124037
Bidir,177,3,4.359226643699287,2.2307940103768864,-4.211207138084774,-1.5134882176394997
Power,177,4,4.472480506226208,2.2479732663618064,-6.249371986145537,-1.4221337923700486
Priority,177,4,4.10446127286425,2.2455793541070874,-4.073348159265346,-1.7583092040975303
Bidir,177,4,4.367851341591634,2.2356649102179893,-4.129079518535455,-1.5001859624574656
Power,178,5,4.519079470376523,2.2504200023088936,-6.43025126514442,-1.3830480514841754
Priority,178,5,4.1567921860745765,2.2496940330948005,-4.024251761900107,-1.7019068397288162
Bidir,178,5,4.4574886902537845,2.2504200023088936,-4.35545947909431,-1.3562010165436873
Power,179,3,4.482263490464874,2.2528530309798933,-6.191615595253889,-1.1537809109771997
Priority,179,3,4.058561438213308,2.2215904436636804,-3.9925285969388975,-1.5501671713311551
Bidir,179,3,4.29653830984112,2.2014709399884973,-4.110134538931783,-1.526829691696013
Power,180,5,4.50800712301962,2.2552725051033065,-6.43475792789688,-1.3916156002576996
Priority,180,5,4.145617145840525,2.254685223767156,-4.088243232437012,-1.7180719870745016
Bidir,180,5,4.437092925939318,2.2552725051033065,-4.400098945927428,-1.4377587803637948
Power,181,2,4.443249451895032,2.257678574869185,-5.585482791712341,-1.4516207876866072
Priority,181,2,3.8123423491782784,2.00917516785002,-3.984604514762789,-2.002523005196614
Bidir,181,2,3.955114135706392,1.828694725075529,-4.365817068771893,-1.862798584257232
Power,185,2,4.457450209728599,2.2671717284030137,-5.956299958865242,-1.446353195037971
Priority,185,2,3.826353264529277,2.018498077557054,-3.92706904068515,-2.000311717333651
Bidir,185,2,4.175951166711178,2.106843011888898,-4.332258064173782,-1.6832599340787782
Power,186,5,4.53255744408619,2.2695129442179165,-6.487122655159181,-1.2089429505726483
Priority,186,5,4.168617710502477,2.2677423760268534,-4.065304233408559,-1.444132409028333
Bidir,186,5,4.468422381256082,2.2695129442179165,-4.341120610202224,-1.247028712588625
Power,188,4,4.521943065900725,2.27415784926368,-6.498095996455084,-1.3689059738671254
Priority,188,4,4.137873099765874,2.2693235853826064,-3.946228415603125,-1.7136829061208514
Bidir,188,4,4.468545308871521,2.27415784926368,-4.297064831640755,-1.4053222437421675
Power,188,4,4.509278465441215,2.27415784926368,-6.253441997565418,-1.386899973020869
Priority,188,4,4.130970614357409,2.270836149321311,-3.985460077221085,-1.7282495314512518
Bidir,188,4,4.4258834789409,2.271904370389763,-4.248095040551103,-1.4443461375512918
Power,188,4,4.51915264049389,2.27415784926368,-6.026517186954191,-1.382414323379827
Priority,188,4,4.1282970759232125,2.270143544708996,-3.969573613459276,-1.5876753448686602
Bidir,188,4,4.389239378847556,2.260200354424598,-4.303350522012907,-1.2260829472749002
Power,189,4,4.518402239628085,2.276461804173244,-6.271774802764136,-1.2223571994194466
Priority,189,4,4.139665544065323,2.272155335136361,-4.032849101616613,-1.7151307471175818
Bidir,189,4,4.441494296197748,2.276461804173244,-4.332532703189544,-1.4324523407683794
Power,189,3,4.4940782170847005,2.276461804173244,-6.354867490951464,-1.3927565068234533
Priority,189,3,4.067726143181051,2.246445345384861,-3.920623048615208,-1.7856264607530377
Bidir,189,3,4.298640094263317,2.2062422448579704,-4.40012342749272,-1.5666246151522734
Power,191,4,4.525293154561543,2.281033367247728,-6.390941748352542,-1.3802366079028556
Priority,191,4,4.133153810539461,2.2754669989121488,-4.062071772995152,-1.725690919418249
Bidir,191,4,4.411004634284997,2.276461804173244,-4.395388261044441,-1.4616432036844045
Power,191,2,4.470374330713924,2.281033367247728,-5.973342397033834,-1.2309524671928538
Priority,191,2,3.837615734328157,2.034509220890562,-3.958894332013781,-1.7448539836051875
Bidir,191,2,4.207259443686402,2.136806235266341,-4.29010193102435,-1.3925989144349349
