Computed,n,s,Avg. FLOPs,Cols Fetched,Avg. Linf Error,Time
Priority,594,3,4.029409795027251,2.548436667709411,-3.99875779143686,0.0780427743820522
Bidir,594,3,4.240027346248373,2.4602423037914747,-4.308690325900372,0.4389361092115524
Power,107,3,3.995618134434338,2.0293837776852097,-6.062806526124103,0.2843809115917919
Priority,107,3,3.659913560294736,2.0211892990699383,-3.8761557100352095,-0.0092131427705606
Bidir,107,3,3.961415820270227,2.0293837776852097,-4.381181136514306,0.3948926906811972
Power,128,3,4.066904867290516,2.107209969647868,-6.355786283966063,0.5494796487842479
Priority,128,3,3.6979240916147447,2.090858348173944,-3.9783976948618873,0.2644865611475048
Bidir,128,3,3.98517756862439,2.107209969647868,-4.366946409992273,0.4921410002324919
Power,158,3,4.170078473628646,2.198657086954422,-5.66297047353925,0.75106200120749
Priority,158,3,3.76175315948505,2.178899207297991,-3.999420538611528,-0.0270316508768811
Bidir,158,3,4.043653232727495,2.187825488906446,-4.264195363536341,0.3548604032884294
Power,40,2,3.5533766901386463,1.6020599913279625,-5.590943852948851,-0.1271243085396417
Priority,40,2,3.2865077941754293,1.596439998687904,-4.035079341716104,-0.4268031305218046
Bidir,40,2,3.5365115477784537,1.6020599913279625,-4.158795597100151,-0.0004556248726113
Power,486,3,4.65316679616049,2.6866362692622934,-5.894532260558872,1.131832481346886
Priority,486,3,4.009252915456001,2.519275192451244,-3.9700905589152695,0.1390376516129324
Bidir,486,3,4.249264027795928,2.480385215328338,-4.280408370203134,0.2780467150707256
Power,75,2,3.827943357052692,1.8750612633917,-5.907900643502917,0.3927400086084204
Priority,75,2,3.4565515894155245,1.8363944524923783,-3.916759570281053,-0.4181676740119337
Bidir,75,2,3.603469159733839,1.7263196121107751,-4.151902984927293,-0.2004820684580924
Power,121,3,4.054852348453461,2.0827853703164503,-5.806744587041155,0.0906813398492611
Priority,121,3,3.684179351763144,2.071063355825445,-4.044963248383868,-0.2609360339055394
Bidir,121,3,3.9891765672174615,2.0827853703164503,-4.074304808319064,0.0293772669524866
